frame robot_id x y phi px py
157 255 327.768 -196.956 1.5708 2525.82 1426.16
158 255 327.744 -196.981 1.5708 2525.78 1426.21
159 255 327.499 -197.042 1.5708 2525.35 1426.32
160 255 327.63 -197.084 1.5708 2525.59 1426.38
161 255 327.442 -197.066 1.5708 2525.25 1426.36
162 255 328.043 -197.167 1.5708 2526.31 1426.51
163 16 329.001 -197.158 1.5708 2527.99 1426.45
164 16 328.924 -197.127 1.5708 2527.85 1426.4
165 16 329.125 -197.179 1.5708 2528.21 1426.48
166 16 329.116 -197.154 1.5708 2528.19 1426.44
167 16 329.153 -197.176 1.5708 2528.26 1426.47
168 16 328.863 -197.113 1.5708 2527.75 1426.38
169 16 329.223 -197.229 1.5708 2528.39 1426.56
170 16 329.084 -197.166 1.5708 2528.14 1426.46
171 16 329.324 -197.176 1.5708 2528.56 1426.46
172 16 329.125 -197.179 1.5708 2528.21 1426.48
173 16 329.174 -197.157 1.5708 2528.29 1426.44
174 16 328.944 -197.231 1.5708 2527.9 1426.57
175 16 328.863 -197.113 1.5708 2527.75 1426.38
176 16 328.868 -197.249 1.5708 2527.77 1426.61
177 16 329.001 -197.158 1.5708 2527.99 1426.45
178 16 329.267 -197.173 1.5708 2528.46 1426.46
179 16 329.121 -197.184 1.5708 2528.2 1426.49
180 16 329.438 -197.188 1.5708 2528.76 1426.48
181 16 329.125 -197.179 1.5708 2528.21 1426.48
182 16 329.039 -197.139 1.5708 2528.06 1426.41
183 16 329.032 -197.208 1.5708 2528.05 1426.53
184 16 329.189 -197.216 1.5708 2528.32 1426.54
185 16 329.324 -197.176 1.5708 2528.56 1426.46
186 16 329.109 -197.203 1.5708 2528.18 1426.52
187 16 329.243 -197.241 1.5708 2528.42 1426.58
188 16 329.053 -197.203 1.5708 2528.09 1426.52
189 16 329.039 -197.139 1.5708 2528.06 1426.41
190 16 329.086 -197.192 1.5708 2528.14 1426.5
191 16 329.242 -197.203 1.5708 2528.42 1426.51
192 16 329.117 -197.151 1.5708 2528.19 1426.43
193 16 329.153 -197.176 1.5708 2528.26 1426.47
194 16 329.382 -197.182 1.5708 2528.66 1426.47
195 16 329.025 -197.205 1.5708 2528.04 1426.53
196 16 328.804 -197.117 1.5708 2527.64 1426.39
197 16 329.153 -197.176 1.5708 2528.26 1426.47
198 16 329.242 -197.203 1.5708 2528.42 1426.51
199 16 329.174 -197.157 1.5708 2528.29 1426.44
200 16 329.153 -197.176 1.5708 2528.26 1426.47
201 16 329.085 -197.188 1.5708 2528.14 1426.5
202 16 328.8 -197.266 1.5708 2527.65 1426.64
203 16 329.142 -197.169 1.5708 2528.24 1426.46
204 16 329.125 -197.194 1.5708 2528.21 1426.5
205 16 329.125 -197.179 1.5708 2528.21 1426.48
206 16 329.438 -197.188 1.5708 2528.76 1426.48
207 16 329.025 -197.205 1.5708 2528.04 1426.53
208 16 329.231 -197.163 1.5708 2528.39 1426.45
209 16 329.076 -197.192 1.5708 2528.13 1426.5
210 16 329.03 -197.16 1.5708 2528.04 1426.45
211 16 328.945 -197.152 1.5708 2527.89 1426.44
212 16 328.971 -197.229 1.5708 2527.94 1426.57
213 16 329.174 -197.157 1.5708 2528.29 1426.44
214 16 329.053 -197.203 1.5708 2528.09 1426.52
215 16 329.147 -197.139 1.5708 2528.25 1426.41
216 16 329.153 -197.176 1.5708 2528.26 1426.47
217 16 329.35 -197.193 1.5708 2528.6 1426.49
218 16 329.002 -197.149 1.5708 2527.99 1426.43
219 16 328.8 -197.266 1.5708 2527.65 1426.64
220 16 329.147 -197.271 1.5708 2528.25 1426.63
221 16 328.773 -197.277 1.5708 2527.6 1426.66
222 16 329.221 -197.175 1.5708 2528.38 1426.47
223 16 328.829 -197.317 1.5708 2527.7 1426.72
224 16 328.952 -197.296 1.5708 2527.92 1426.68
225 16 328.879 -197.261 1.5708 2527.78 1426.63
226 16 328.72 -197.31 1.5708 2527.51 1426.71
227 16 329.214 -197.335 1.5708 2528.38 1426.74
228 16 328.773 -197.277 1.5708 2527.6 1426.66
229 16 329.066 -197.143 1.5708 2528.1 1426.42
230 16 328.557 -197.39 1.5708 2527.23 1426.86
231 16 328.764 -197.313 1.5708 2527.59 1426.72
232 16 328.932 -197.262 1.5708 2527.88 1426.63
233 16 328.8 -197.266 1.5708 2527.65 1426.64
234 16 329.376 -197.213 1.5708 2528.65 1426.52
235 16 328.8 -197.266 1.5708 2527.65 1426.64
236 16 328.974 -197.127 1.5708 2527.94 1426.4
237 16 328.669 -197.439 1.5708 2527.43 1426.93
238 16 329.187 -197.244 1.5708 2528.32 1426.58
239 16 328.879 -197.261 1.5708 2527.78 1426.63
240 16 328.654 -197.3 1.5708 2527.39 1426.7
241 16 329.27 -197.245 1.5708 2528.47 1426.58
242 16 328.8 -197.266 1.5708 2527.65 1426.64
243 16 329.066 -197.143 1.5708 2528.1 1426.42
244 16 328.669 -197.439 1.5708 2527.43 1426.93
245 16 328.952 -197.296 1.5708 2527.92 1426.68
246 16 328.932 -197.262 1.5708 2527.88 1426.63
247 16 328.773 -197.277 1.5708 2527.6 1426.66
248 16 329.349 -197.209 1.5708 2528.6 1426.52
249 16 328.773 -197.277 1.5708 2527.6 1426.66
250 16 328.742 -197.121 1.5708 2527.54 1426.4
