frame robot_id x y phi px py
526 255 280.605 -192.21 1.5708 2412.73 1364.15
527 255 279.889 -192.04 1.5708 2411.5 1363.87
528 255 279.852 -191.998 1.5708 2411.44 1363.79
529 255 278.965 -191.867 1.5708 2409.91 1363.59
530 255 277.577 -191.512 1.5708 2407.53 1362.99
531 255 277.898 -191.519 1.5708 2408.09 1362.99
532 255 278.087 -191.666 1.5708 2408.41 1363.25
533 16 278.536 -191.195 1.63965 2409.2 1362.38
534 16 279.752 -190.713 1.6421 2411.32 1361.45
535 16 279.304 -190.839 1.63736 2410.54 1361.7
536 16 279.813 -190.711 1.63736 2411.42 1361.45
537 16 281.38 -190.009 1.5708 2414.15 1360.11
538 16 281.195 -190.148 1.5708 2413.83 1360.37
539 16 281.241 -190.156 1.5708 2413.91 1360.38
540 255 280.695 -189.929 1.5708 2412.97 1359.99
541 16 280.672 -190.532 1.63736 2412.91 1361.09
542 16 278.653 -191.057 1.62629 2409.41 1362.12
543 16 278.606 -190.961 1.62955 2409.33 1361.95
544 16 278.624 -191.056 1.62629 2409.36 1362.12
545 16 278.591 -190.946 1.62629 2409.3 1361.92
546 16 278.624 -191.15 1.62629 2409.35 1362.29
547 16 278.654 -191.156 1.5708 2409.41 1362.3
548 16 278.462 -191.172 1.62338 2409.07 1362.34
549 16 278.423 -191.154 1.62338 2409.01 1362.31
550 255 278.65 -191.195 1.5708 2409.4 1362.37
551 16 278.306 -191.155 1.62203 2408.8 1362.31
552 255 278.295 -191.222 1.5708 2408.78 1362.43
553 255 278.482 -191.24 1.5708 2409.11 1362.46
554 255 278.453 -191.243 1.5708 2409.05 1362.47
555 255 278.482 -191.237 1.5708 2409.11 1362.46
556 255 278.427 -191.239 1.5708 2409.01 1362.46
557 255 278.554 -191.174 1.5708 2409.23 1362.34
558 255 278.453 -191.243 1.5708 2409.05 1362.47
559 255 278.441 -191.206 1.5708 2409.04 1362.4
560 255 278.395 -191.222 1.5708 2408.96 1362.43
561 255 278.195 -191.266 1.5708 2408.61 1362.52
562 255 278.507 -191.244 1.5708 2409.15 1362.47
563 255 278.296 -191.28 1.5708 2408.78 1362.54
564 255 278.58 -191.178 1.5708 2409.28 1362.34
565 255 278.064 -191.32 1.5708 2408.38 1362.62
566 255 278.236 -191.274 1.5708 2408.68 1362.53
567 255 278.482 -191.24 1.5708 2409.11 1362.46
568 255 278.453 -191.243 1.5708 2409.05 1362.47
569 255 278.365 -191.291 1.5708 2408.9 1362.56
570 255 278.453 -191.243 1.5708 2409.05 1362.47
571 255 278.631 -191.185 1.5708 2409.36 1362.36
572 255 278.064 -191.32 1.5708 2408.38 1362.62
573 255 278.291 -191.287 1.5708 2408.77 1362.55
574 255 278.296 -191.28 1.5708 2408.78 1362.54
575 255 278.453 -191.243 1.5708 2409.05 1362.47
576 255 278.365 -191.291 1.5708 2408.9 1362.56
577 255 278.267 -191.283 1.5708 2408.73 1362.55
578 255 278.676 -191.202 1.5708 2409.44 1362.38
579 255 277.999 -191.353 1.5708 2408.27 1362.68
580 255 278.336 -191.294 1.5708 2408.85 1362.56
581 255 278.185 -191.326 1.5708 2408.59 1362.63
582 255 278.453 -191.243 1.5708 2409.05 1362.47
583 255 278.319 -191.284 1.5708 2408.82 1362.55
584 255 278.087 -191.324 1.5708 2408.42 1362.63
585 255 278.728 -191.159 1.5708 2409.53 1362.3
586 255 278.041 -191.346 1.5708 2408.34 1362.67
587 255 278.13 -191.332 1.5708 2408.49 1362.64
588 255 278.051 -191.302 1.5708 2408.36 1362.59
589 255 278.087 -191.324 1.5708 2408.42 1362.63
590 255 278.185 -191.326 1.5708 2408.59 1362.63
591 255 278.011 -191.364 1.5708 2408.29 1362.7
592 255 278.678 -191.193 1.5708 2409.45 1362.37
593 255 278.041 -191.346 1.5708 2408.34 1362.67
594 255 278.171 -191.339 1.5708 2408.56 1362.65
595 255 278.25 -191.334 1.5708 2408.7 1362.64
596 255 278.064 -191.364 1.5708 2408.38 1362.7
597 255 278.185 -191.326 1.5708 2408.59 1362.63
598 255 278.141 -191.325 1.5708 2408.51 1362.63
599 255 278.678 -191.193 1.5708 2409.45 1362.37
600 255 278.021 -191.357 1.5708 2408.31 1362.69
601 255 278.069 -191.32 1.5708 2408.39 1362.62
602 255 278.141 -191.318 1.5708 2408.51 1362.62
603 255 278.021 -191.357 1.5708 2408.31 1362.69
604 255 278.226 -191.333 1.5708 2408.66 1362.64
605 255 278.064 -191.364 1.5708 2408.38 1362.7
606 255 278.069 -191.32 1.5708 2408.39 1362.62
607 255 278.083 -191.353 1.5708 2408.41 1362.68
608 255 278.13 -191.332 1.5708 2408.49 1362.64
609 255 278.13 -191.326 1.5708 2408.49 1362.63
610 255 278.064 -191.364 1.5708 2408.38 1362.7
611 255 278.157 -191.366 1.5708 2408.54 1362.7
612 255 278.064 -191.364 1.5708 2408.38 1362.7
613 255 278.631 -191.185 1.5708 2409.36 1362.36
614 255 278.064 -191.364 1.5708 2408.38 1362.7
615 255 278.103 -191.372 1.5708 2408.45 1362.71
616 255 278.242 -191.338 1.5708 2408.69 1362.65
617 255 278.126 -191.373 1.5708 2408.49 1362.72
618 16 278.358 -191.349 1.67567 2408.89 1362.66
619 255 278.173 -191.377 1.5708 2408.57 1362.72
620 255 278.186 -191.365 1.5708 2408.59 1362.7
621 255 278.248 -191.39 1.5708 2408.7 1362.74
622 255 278.194 -191.376 1.5708 2408.6 1362.72
623 255 278.249 -191.36 1.5708 2408.7 1362.69
624 255 278.064 -191.364 1.5708 2408.38 1362.7
625 255 278.307 -191.371 1.5708 2408.8 1362.71
626 255 278.064 -191.364 1.5708 2408.38 1362.7
627 255 278.304 -191.268 1.5708 2408.8 1362.52
628 255 278.173 -191.377 1.5708 2408.57 1362.72
629 255 278.171 -191.339 1.5708 2408.56 1362.65
630 255 278.185 -191.326 1.5708 2408.59 1362.63
631 255 278.192 -191.381 1.5708 2408.6 1362.73
632 255 278.226 -191.333 1.5708 2408.66 1362.64
633 255 280.202 -189.801 1.5708 2412.13 1359.77
634 255 281.187 -187.958 1.5708 2413.9 1356.37
635 16 280.346 -186.047 1.6421 2412.52 1352.92
636 16 278.92 -184.418 1.63522 2410.12 1350
637 16 277.894 -182.806 1.5708 2408.42 1347.09
638 16 279.133 -180.918 1.5708 2410.63 1343.6
