frame robot_id x y phi px py
624 255 250.993 -243.812 1.5708 2357.6 1458.33
625 255 250.773 -243.847 1.5708 2357.22 1458.4
626 255 251.379 -243.841 1.5708 2358.26 1458.36
627 255 251.254 -243.489 1.5708 2358.06 1457.73
628 255 252.028 -243.697 1.5708 2359.39 1458.08
629 255 252.655 -243.69 1.5708 2360.47 1458.04
630 255 254.188 -243.67 1.5708 2363.12 1457.94
631 16 256.059 -243.651 1.5708 2366.34 1457.84
632 16 256.059 -243.651 1.5708 2366.34 1457.84
633 16 256.017 -243.639 1.5708 2366.27 1457.82
634 16 255.969 -243.537 1.5708 2366.19 1457.63
635 16 255.89 -243.732 1.5708 2366.05 1457.99
636 16 256.016 -243.689 1.5708 2366.27 1457.91
637 16 255.937 -243.574 1.5708 2366.14 1457.7
638 16 256.136 -243.675 1.5708 2366.47 1457.88
639 16 256.059 -243.651 1.5708 2366.34 1457.84
640 16 256.128 -243.717 1.5708 2366.46 1457.95
641 16 255.856 -243.462 1.5708 2366 1457.5
642 16 256.045 -243.705 1.5708 2366.32 1457.94
643 16 256.095 -243.658 1.5708 2366.4 1457.85
644 16 255.937 -243.574 1.5708 2366.14 1457.7
645 16 255.992 -243.627 1.5708 2366.23 1457.79
646 16 256.018 -243.649 1.5708 2366.27 1457.83
647 16 255.98 -243.577 1.5708 2366.21 1457.7
648 16 255.856 -243.462 1.5708 2366 1457.5
649 16 256.045 -243.705 1.5708 2366.32 1457.94
650 16 256.059 -243.651 1.5708 2366.34 1457.84
651 16 255.937 -243.574 1.5708 2366.14 1457.7
652 16 255.98 -243.577 1.5708 2366.21 1457.7
653 16 255.98 -243.577 1.5708 2366.21 1457.7
654 16 255.98 -243.577 1.5708 2366.21 1457.7
655 16 255.856 -243.462 1.5708 2366 1457.5
656 16 256.188 -243.687 1.5708 2366.56 1457.9
657 16 256.085 -243.617 1.5708 2366.39 1457.77
658 16 255.937 -243.574 1.5708 2366.14 1457.7
659 16 255.979 -243.583 1.5708 2366.21 1457.72
660 16 255.937 -243.574 1.5708 2366.14 1457.7
661 16 255.98 -243.577 1.5708 2366.21 1457.7
662 16 255.98 -243.577 1.5708 2366.21 1457.7
663 16 256.085 -243.617 1.5708 2366.39 1457.77
664 16 255.98 -243.577 1.5708 2366.21 1457.7
665 16 256.018 -243.649 1.5708 2366.27 1457.83
666 16 256.059 -243.651 1.5708 2366.34 1457.84
667 16 255.98 -243.577 1.5708 2366.21 1457.7
668 16 256.059 -243.651 1.5708 2366.34 1457.84
669 16 255.98 -243.577 1.5708 2366.21 1457.7
670 16 256.059 -243.651 1.5708 2366.34 1457.84
671 16 255.98 -243.577 1.5708 2366.21 1457.7
672 16 256.043 -243.614 1.5708 2366.32 1457.77
673 16 255.98 -243.577 1.5708 2366.21 1457.7
674 16 255.808 -243.459 1.5708 2365.92 1457.5
675 16 255.992 -243.79 1.5708 2366.22 1458.09
676 16 255.98 -243.577 1.5708 2366.21 1457.7
677 16 256.018 -243.649 1.5708 2366.27 1457.83
678 16 256.059 -243.651 1.5708 2366.34 1457.84
679 16 256.188 -243.687 1.5708 2366.56 1457.9
680 16 256.085 -243.617 1.5708 2366.39 1457.77
681 16 255.937 -243.574 1.5708 2366.14 1457.7
682 16 255.841 -243.76 1.5708 2365.96 1458.04
683 16 256.018 -243.653 1.5708 2366.27 1457.84
684 16 255.937 -243.574 1.5708 2366.14 1457.7
685 16 256.059 -243.651 1.5708 2366.34 1457.84
686 16 256.043 -243.614 1.5708 2366.32 1457.77
687 16 256.085 -243.617 1.5708 2366.39 1457.77
688 16 255.808 -243.459 1.5708 2365.92 1457.5
689 16 256.188 -243.687 1.5708 2366.56 1457.9
690 16 255.98 -243.577 1.5708 2366.21 1457.7
691 16 256.043 -243.614 1.5708 2366.32 1457.77
692 16 256.188 -243.687 1.5708 2366.56 1457.9
693 16 255.98 -243.577 1.5708 2366.21 1457.7
694 16 255.98 -243.577 1.5708 2366.21 1457.7
695 16 255.856 -243.462 1.5708 2366 1457.5
696 16 256.045 -243.705 1.5708 2366.32 1457.94
697 16 256.017 -243.639 1.5708 2366.27 1457.82
698 16 256.059 -243.651 1.5708 2366.34 1457.84
699 16 256.059 -243.651 1.5708 2366.34 1457.84
