frame robot_id x y phi px py
344 255 231.441 -211.169 1.5708 2319.81 1401.5
345 16 231.816 -211.192 1.5708 2320.46 1401.53
346 16 231.589 -211.174 1.5708 2320.07 1401.5
347 16 231.637 -211.178 1.5708 2320.15 1401.51
348 16 231.493 -211.17 1.5708 2319.9 1401.5
349 16 231.637 -211.178 1.5708 2320.15 1401.51
350 16 231.768 -211.188 1.5708 2320.38 1401.52
351 16 231.637 -211.178 1.5708 2320.15 1401.51
352 16 231.72 -211.187 1.5708 2320.3 1401.52
353 16 231.589 -211.174 1.5708 2320.07 1401.5
354 16 231.637 -211.178 1.5708 2320.15 1401.51
355 16 231.587 -211.177 1.5708 2320.07 1401.51
356 16 231.637 -211.178 1.5708 2320.15 1401.51
357 16 231.768 -211.188 1.5708 2320.38 1401.52
358 16 231.637 -211.178 1.5708 2320.15 1401.51
359 16 231.816 -211.192 1.5708 2320.46 1401.53
360 16 231.637 -211.178 1.5708 2320.15 1401.51
361 16 231.463 -211.161 1.5708 2319.85 1401.48
362 16 231.093 -211.116 1.5708 2319.21 1401.42
363 16 230.595 -210.994 1.5708 2318.36 1401.22
364 16 230.071 -210.778 1.5708 2317.46 1400.84
365 16 230.595 -210.994 1.5708 2318.36 1401.22
366 16 230.396 -210.93 1.5708 2318.01 1401.11
367 16 230.419 -210.953 1.5708 2318.05 1401.15
368 16 230.676 -211.014 1.5708 2318.5 1401.25
369 16 230.046 -210.79 1.5708 2317.41 1400.87
370 16 231.028 -211.087 1.5708 2319.1 1401.37
371 16 230.852 -211.024 1.5708 2318.8 1401.26
372 16 230.595 -210.994 1.5708 2318.36 1401.22
373 16 231.56 -211.16 1.5708 2320.02 1401.48
374 16 230.549 -210.99 1.5708 2318.28 1401.21
375 16 230.34 -210.905 1.5708 2317.92 1401.06
376 16 230.043 -210.835 1.5708 2317.41 1400.95
377 16 230.34 -210.905 1.5708 2317.92 1401.06
378 16 230.582 -211.002 1.5708 2318.33 1401.23
379 16 230.36 -210.943 1.5708 2317.95 1401.13
380 16 231.491 -211.148 1.5708 2319.9 1401.46
381 16 230.228 -210.905 1.5708 2317.72 1401.07
382 16 230.372 -210.922 1.5708 2317.97 1401.09
383 16 230.105 -210.895 1.5708 2317.51 1401.06
384 16 230.272 -210.909 1.5708 2317.8 1401.07
385 16 231.512 -211.156 1.5708 2319.94 1401.48
386 16 230.78 -211.034 1.5708 2318.67 1401.28
387 16 230.953 -211.026 1.5708 2318.97 1401.26
388 16 230.943 -211.075 1.5708 2318.96 1401.35
389 16 230.595 -210.994 1.5708 2318.36 1401.22
390 16 230.256 -210.97 1.5708 2317.77 1401.18
391 16 230.202 -210.9 1.5708 2317.68 1401.06
392 16 231.387 -211.133 1.5708 2319.72 1401.44
393 16 230.595 -210.994 1.5708 2318.36 1401.22
394 16 230.272 -210.909 1.5708 2317.8 1401.07
395 16 230.24 -210.912 1.5708 2317.75 1401.08
396 16 230.372 -210.922 1.5708 2317.97 1401.09
