frame robot_id x y phi px py
621 255 234.448 -230.816 1.5708 2327.34 1435.76
622 16 233.959 -230.609 1.5708 2326.5 1435.41
623 16 233.484 -230.764 1.5708 2325.68 1435.71
624 16 233.557 -231.086 1.5708 2325.79 1436.29
625 16 233.936 -231.2 1.5708 2326.44 1436.48
626 16 234.053 -231.213 1.5708 2326.64 1436.5
627 16 233.359 -231.294 1.5708 2325.44 1436.68
628 16 232.935 -231.561 1.5708 2324.69 1437.18
629 16 232.741 -231.419 1.5708 2324.37 1436.93
630 16 232.67 -231.388 1.5708 2324.24 1436.88
631 16 234.099 -231.739 1.5708 2326.7 1437.46
632 16 232.924 -231.33 1.5708 2324.68 1436.76
633 16 234.15 -231.776 1.5708 2326.78 1437.52
634 16 232.596 -231.474 1.5708 2324.11 1437.03
635 16 232.802 -231.452 1.5708 2324.47 1436.99
636 16 232.935 -231.319 1.5708 2324.7 1436.74
637 16 232.802 -231.452 1.5708 2324.47 1436.99
638 16 234.353 -231.785 1.5708 2327.13 1437.53
639 16 232.722 -231.492 1.5708 2324.33 1437.06
640 16 234.454 -231.785 1.5708 2327.31 1437.53
641 16 232.889 -231.562 1.5708 2324.62 1437.18
642 16 233.209 -231.605 1.5708 2325.17 1437.25
643 16 234.252 -231.78 1.5708 2326.96 1437.53
644 16 232.526 -231.476 1.5708 2323.99 1437.04
645 16 234.252 -231.78 1.5708 2326.96 1437.53
646 16 232.728 -231.374 1.5708 2324.34 1436.85
647 16 234.15 -231.776 1.5708 2326.78 1437.52
648 16 232.722 -231.492 1.5708 2324.33 1437.06
649 16 232.802 -231.452 1.5708 2324.47 1436.99
650 16 234.353 -231.785 1.5708 2327.13 1437.53
651 16 232.788 -231.38 1.5708 2324.45 1436.85
652 16 233.424 -231.684 1.5708 2325.53 1437.38
653 16 232.651 -231.494 1.5708 2324.21 1437.07
654 16 233.998 -231.772 1.5708 2326.52 1437.52
655 16 232.793 -231.375 1.5708 2324.46 1436.85
656 16 232.651 -231.494 1.5708 2324.21 1437.07
657 16 233.77 -231.694 1.5708 2326.13 1437.39
658 16 232.768 -231.374 1.5708 2324.41 1436.84
659 16 234.252 -231.78 1.5708 2326.96 1437.53
660 16 233.827 -231.759 1.5708 2326.23 1437.5
661 16 233.998 -231.772 1.5708 2326.52 1437.52
662 16 232.633 -231.425 1.5708 2324.18 1436.94
663 16 232.695 -231.493 1.5708 2324.28 1437.07
664 16 234.21 -231.758 1.5708 2326.89 1437.49
665 16 232.664 -231.376 1.5708 2324.23 1436.85
666 16 234.166 -231.764 1.5708 2326.81 1437.5
667 16 232.628 -231.434 1.5708 2324.17 1436.96
668 16 234.006 -231.765 1.5708 2326.54 1437.51
669 16 232.831 -231.496 1.5708 2324.52 1437.06
670 16 233.357 -231.672 1.5708 2325.42 1437.37
671 16 234.353 -231.785 1.5708 2327.13 1437.53
672 16 232.798 -231.466 1.5708 2324.46 1437.01
673 16 234.353 -231.78 1.5708 2327.13 1437.52
674 16 232.633 -231.425 1.5708 2324.18 1436.94
675 16 234.449 -231.772 1.5708 2327.3 1437.5
676 16 232.798 -231.435 1.5708 2324.46 1436.95
677 16 233.162 -231.605 1.5708 2325.09 1437.25
678 16 234.353 -231.785 1.5708 2327.13 1437.53
679 16 232.722 -231.492 1.5708 2324.33 1437.06
680 16 234.353 -231.785 1.5708 2327.13 1437.53
681 16 232.889 -231.562 1.5708 2324.62 1437.18
682 16 234.006 -231.765 1.5708 2326.54 1437.51
683 16 233.191 -231.522 1.5708 2325.14 1437.1
684 16 233.749 -231.746 1.5708 2326.09 1437.48
685 16 234.252 -231.78 1.5708 2326.96 1437.53
686 16 233.924 -231.758 1.5708 2326.39 1437.5
687 16 234.403 -231.778 1.5708 2327.22 1437.52
688 16 232.722 -231.492 1.5708 2324.33 1437.06
689 16 234.054 -231.763 1.5708 2326.62 1437.5
690 16 233.066 -231.459 1.5708 2324.93 1436.99
691 16 233.27 -231.643 1.5708 2325.27 1437.32
692 16 234.252 -231.78 1.5708 2326.96 1437.53
693 16 232.957 -231.396 1.5708 2324.74 1436.88
694 16 234.353 -231.78 1.5708 2327.13 1437.52
