frame robot_id x y phi px py
537 16 300.356 -242.501 1.5708 2444.69 1455.1
538 16 299.615 -242.319 1.5708 2443.42 1454.8
539 16 300.296 -242.415 1.5708 2444.59 1454.95
540 16 300.106 -242.274 1.5708 2444.27 1454.7
541 16 299.853 -242.143 1.5708 2443.84 1454.47
542 16 300.789 -242.449 1.5708 2445.44 1454.99
543 16 300.046 -242.244 1.5708 2444.17 1454.65
544 16 300.011 -242.226 1.5708 2444.11 1454.62
545 16 300.106 -242.274 1.5708 2444.27 1454.7
546 16 299.998 -242.27 1.5708 2444.08 1454.7
547 16 300.067 -242.228 1.5708 2444.2 1454.62
548 16 299.956 -242.227 1.5708 2444.01 1454.62
549 16 300.835 -242.45 1.5708 2445.52 1454.99
550 16 300.16 -242.283 1.5708 2444.36 1454.71
551 16 300.067 -242.251 1.5708 2444.2 1454.66
552 16 300.104 -242.264 1.5708 2444.27 1454.68
553 16 300.038 -242.259 1.5708 2444.15 1454.68
554 16 300.1 -242.244 1.5708 2444.26 1454.65
555 16 299.956 -242.227 1.5708 2444.01 1454.62
556 16 300.59 -242.421 1.5708 2445.1 1454.95
557 16 300.05 -242.265 1.5708 2444.17 1454.69
558 16 299.93 -242.229 1.5708 2443.97 1454.62
559 16 300.642 -242.428 1.5708 2445.19 1454.96
560 16 299.956 -242.227 1.5708 2444.01 1454.62
561 16 300.363 -242.361 1.5708 2444.71 1454.85
562 16 300.156 -242.194 1.5708 2444.36 1454.55
563 16 300.792 -242.473 1.5708 2445.44 1455.04
564 16 300.293 -242.338 1.5708 2444.59 1454.81
565 16 300.015 -242.282 1.5708 2444.11 1454.72
566 16 300.158 -242.266 1.5708 2444.36 1454.68
567 16 299.956 -242.227 1.5708 2444.01 1454.62
568 16 300.106 -242.274 1.5708 2444.27 1454.7
569 16 300.065 -242.129 1.5708 2444.2 1454.44
570 16 300.746 -242.439 1.5708 2445.37 1454.98
571 16 300.05 -242.265 1.5708 2444.17 1454.69
572 16 300.011 -242.226 1.5708 2444.11 1454.62
573 16 300.159 -242.288 1.5708 2444.36 1454.72
574 16 300.016 -242.218 1.5708 2444.12 1454.6
575 16 300.682 -242.421 1.5708 2445.26 1454.95
576 16 299.853 -242.143 1.5708 2443.84 1454.47
577 16 300.835 -242.45 1.5708 2445.52 1454.99
578 16 300.05 -242.265 1.5708 2444.17 1454.69
579 16 299.93 -242.229 1.5708 2443.97 1454.62
580 16 300.106 -242.274 1.5708 2444.27 1454.7
581 16 300.05 -242.265 1.5708 2444.17 1454.69
582 16 300.478 -242.394 1.5708 2444.9 1454.9
583 16 299.866 -242.151 1.5708 2443.86 1454.49
584 16 300.764 -242.45 1.5708 2445.4 1455
585 16 300.041 -242.28 1.5708 2444.16 1454.71
586 16 299.956 -242.227 1.5708 2444.01 1454.62
