x y z
0.080023 -0.050702 -0.014661
0.060781 -0.052840 -0.019853
0.026267 -0.043066 -0.019548
0.016188 -0.041539 -0.002749
0.042150 -0.042150 -0.038179
0.013744 -0.051007 -0.034514
0.015882 -0.047647 -0.025351
0.048869 -0.030543 -0.028405
0.033598 -0.025351 -0.039401
0.044593 -0.023518 -0.043982
0.029322 -0.055894 0.000611
0.032987 -0.055283 -0.017104
0.011301 -0.053451 -0.033598
0.037263 -0.027794 -0.004887
0.040317 -0.024435 -0.008247
0.038790 -0.054367 -0.008858
0.042150 -0.053451 -0.022907
0.049786 -0.053756 -0.009774
0.023518 -0.023518 -0.022907
0.023824 -0.031460 -0.034514
0.039401 -0.034514 -0.023824
0.041539 -0.051007 -0.004887
0.032376 -0.037263 -0.021991
0.038790 -0.044899 -0.030238
0.045509 -0.033903 -0.004887
0.048258 -0.038790 -0.018631
0.051313 -0.034819 -0.022907
0.034514 -0.058643 -0.019853
0.029322 -0.059254 -0.012523
0.024435 -0.051924 -0.005803
0.052840 -0.032070 -0.028711
0.053145 -0.032376 -0.019853
0.043677 -0.038179 -0.011606
0.036957 -0.053756 -0.034514
0.036957 -0.044899 -0.029627
0.072082 -0.051924 -0.025962
0.026267 -0.040623 -0.018631
0.037874 -0.034208 -0.032681
0.040317 -0.013439 -0.028711
0.025351 -0.046426 -0.011301
0.039706 -0.047647 -0.015577
0.044593 -0.046120 -0.023518
0.044899 -0.047342 -0.025656
0.037263 -0.046731 -0.019548
0.048258 -0.041844 -0.016799
0.035736 -0.043982 -0.025045
0.030543 -0.043371 -0.030543
0.045509 -0.045204 -0.008552
0.037263 -0.047647 -0.021075
0.034819 -0.043982 -0.026878
0.045509 -0.035430 -0.011912
0.037874 -0.033903 -0.014355
0.049175 -0.033292 -0.012217
0.026878 -0.061087 -0.022602
0.032376 -0.062919 -0.024129
0.043066 -0.061087 -0.015272
0.033292 -0.033903 -0.036346
0.035430 -0.040928 -0.041539
0.031460 -0.033292 -0.029322
0.037263 -0.043982 -0.010996
0.043066 -0.053451 -0.020159
0.046426 -0.070250 -0.026573
0.043677 -0.038485 -0.013439
0.043371 -0.039401 -0.018631
0.032376 -0.047647 -0.017715
0.011301 -0.044899 -0.027489
0.028711 -0.045204 -0.016799
0.061392 -0.044288 -0.023213
0.039706 -0.034514 -0.030849
0.030543 -0.039095 -0.031460
0.048869 -0.052534 -0.007941
0.037874 -0.051924 -0.020769
0.034514 -0.055894 -0.033903
0.032987 -0.048258 -0.011301
0.033903 -0.035430 -0.011301
0.041233 -0.032070 -0.019548
0.026267 -0.052840 -0.016799
0.033903 -0.051618 -0.014355
0.031460 -0.050396 -0.011301
0.045815 -0.024435 -0.023518
0.045509 -0.028100 -0.033292
0.052534 -0.029016 -0.020159
0.032376 -0.064446 -0.019548
0.037263 -0.050091 -0.022602
0.041539 -0.047647 -0.022907
0.048869 -0.033903 -0.011912
0.040623 -0.032376 -0.017715
0.039095 -0.039095 -0.014355
0.032987 -0.034819 -0.017104
0.045509 -0.051924 -0.023518
0.030543 -0.036346 -0.025962
0.034514 -0.040623 -0.023518
0.019548 -0.040928 -0.021075
0.051313 -0.043982 -0.018631
0.042455 -0.036346 -0.026573
0.038179 -0.042455 -0.030849
0.032376 -0.039095 -0.013439
0.032987 -0.040623 -0.029016
0.040623 -0.033292 -0.030849
0.018631 -0.037263 -0.001222
0.012217 -0.030849 -0.015272
0.023518 -0.034819 -0.024435
0.054978 -0.045204 -0.012828
0.045509 -0.046120 -0.011301
0.049786 -0.034819 -0.003054
0.028100 -0.032070 -0.025962
0.025351 -0.034208 -0.027489
0.031154 -0.040012 -0.013134
0.035736 -0.032376 -0.024435
0.026878 -0.033292 -0.031765
0.038790 -0.040012 -0.007941
0.035430 -0.035430 -0.011912
0.031460 -0.035430 -0.018631
0.033903 -0.033903 -0.018631
0.041539 -0.038179 -0.017104
0.027794 -0.037263 -0.022602
0.030543 -0.030543 -0.018326
0.017715 -0.022907 -0.020159
0.016799 -0.021075 -0.023824
0.048869 -0.058643 -0.019548
0.024435 -0.053756 -0.027184
0.021075 -0.050396 -0.016493
0.050396 -0.014966 -0.020464
0.048564 -0.018021 -0.017410
0.042761 -0.018021 -0.021991
0.023824 -0.051924 -0.012523
0.022297 -0.050702 -0.028711
0.028711 -0.047342 -0.016493
0.032070 -0.029627 -0.018021
0.027794 -0.025656 -0.018631
0.032681 -0.025656 -0.018937
0.037263 -0.034208 -0.025962
0.041233 -0.035736 -0.030849
0.028711 -0.030543 -0.023824
0.028100 -0.037263 -0.014661
0.027184 -0.032987 -0.022297
0.032070 -0.039706 -0.017410
